,sensor,train_label,transformation,model_name,MAPE,Errors,file_path
2_26M_train_original_MSTL_ac_MFLES2_8e5ff900,2,26M_train,original,MSTL_ac_MFLES2,38.07327609339967,"{'test_30_days': 18.13314284771648, 'test_60_days': 22.515195528099312, 'test_90_days': 23.837696856343804, 'test_120_days': 22.02825445780544, 'test_150_days': 21.383536714404233, 'test_180_days': 19.64243256725913, 'test_240_days': 26.733985609351794, 'test_300_days': 32.81005286606744, 'test_360_days': 36.99808217699315, 'test_480_days': 38.120774364343205, 'test_600_days': 38.07327609339967, 'test_720_days': 38.07327609339967, 'test_494_days': 38.07327609339967}",results/run_9/2_26M_train_original_MSTL_ac_MFLES2_8e5ff900.joblib
2_26M_train_log_MSTL_ac_MFLES1_94e4ce88,2,26M_train,log,MSTL_ac_MFLES1,39.83920824545486,"{'test_30_days': 20.813269486363275, 'test_60_days': 24.467953891342102, 'test_90_days': 25.792472403985123, 'test_120_days': 23.50525778772652, 'test_150_days': 22.675542667915508, 'test_180_days': 21.67409886744913, 'test_240_days': 29.669664975267313, 'test_300_days': 35.52894422410693, 'test_360_days': 39.674080163647105, 'test_480_days': 39.812216556169005, 'test_600_days': 39.83920824545486, 'test_720_days': 39.83920824545486, 'test_494_days': 39.83920824545486}",results/run_9/2_26M_train_log_MSTL_ac_MFLES1_94e4ce88.joblib
2_26M_train_trend_MSTL_ac_ARIMA_8f9676db,2,26M_train,trend,MSTL_ac_ARIMA,46.81094774484128,"{'test_30_days': 88.84122369527245, 'test_60_days': 84.09961660755117, 'test_90_days': 79.16259482312543, 'test_120_days': 75.32974007693056, 'test_150_days': 69.38647909878577, 'test_180_days': 62.49989004578354, 'test_240_days': 57.11320470591489, 'test_300_days': 54.90787130642635, 'test_360_days': 53.28194909556103, 'test_480_days': 47.48376640769493, 'test_600_days': 46.81094774484128, 'test_720_days': 46.81094774484128, 'test_494_days': 46.81094774484128}",results/run_9/2_26M_train_trend_MSTL_ac_ARIMA_8f9676db.joblib
2_26M_train_boxcox_MSTL_ac_MFLES1_4582d69a,2,26M_train,boxcox,MSTL_ac_MFLES1,41.91748576328682,"{'test_30_days': 21.60220038193171, 'test_60_days': 24.979994759618656, 'test_90_days': 26.350610625245285, 'test_120_days': 23.92950942954217, 'test_150_days': 23.22953210214258, 'test_180_days': 22.741223554788906, 'test_240_days': 32.32522881809683, 'test_300_days': 38.24672181039377, 'test_360_days': 42.26051499014499, 'test_480_days': 41.88003748616136, 'test_600_days': 41.91748576328682, 'test_720_days': 41.91748576328682, 'test_494_days': 41.91748576328682}",results/run_9/2_26M_train_boxcox_MSTL_ac_MFLES1_4582d69a.joblib
2_26M_train_trend_boxcox_MSTL_ac_ARIMA_00ca77ac,2,26M_train,trend_boxcox,MSTL_ac_ARIMA,46.81094774484128,"{'test_30_days': 88.84122369527245, 'test_60_days': 84.09961660755117, 'test_90_days': 79.16259482312543, 'test_120_days': 75.32974007693056, 'test_150_days': 69.38647909878577, 'test_180_days': 62.49989004578354, 'test_240_days': 57.11320470591489, 'test_300_days': 54.90787130642635, 'test_360_days': 53.28194909556103, 'test_480_days': 47.48376640769493, 'test_600_days': 46.81094774484128, 'test_720_days': 46.81094774484128, 'test_494_days': 46.81094774484128}",results/run_9/2_26M_train_trend_boxcox_MSTL_ac_ARIMA_00ca77ac.joblib
2_24M_train_original_MSTL_ac_ARIMA_c9e8b6d5,2,24M_train,original,MSTL_ac_ARIMA,41.48735713413665,"{'test_30_days': 31.044367061198397, 'test_60_days': 26.48974862572221, 'test_90_days': 26.314172374708445, 'test_120_days': 26.80763527198217, 'test_150_days': 27.65082668237743, 'test_180_days': 26.16993093477509, 'test_240_days': 24.137547332283596, 'test_300_days': 29.358803120939164, 'test_360_days': 34.398605033900644, 'test_480_days': 41.05173005814798, 'test_600_days': 41.48735713413665, 'test_720_days': 41.48735713413665, 'test_555_days': 41.48735713413665}",results/run_9/2_24M_train_original_MSTL_ac_ARIMA_c9e8b6d5.joblib
2_24M_train_log_MSTL_ac_ARIMA_0480ec49,2,24M_train,log,MSTL_ac_ARIMA,40.0723551439674,"{'test_30_days': 34.007682387539454, 'test_60_days': 30.419771765933234, 'test_90_days': 26.990766513164093, 'test_120_days': 26.736985214385328, 'test_150_days': 27.126749173775323, 'test_180_days': 25.450802196915127, 'test_240_days': 24.151507714693118, 'test_300_days': 30.51044644854822, 'test_360_days': 36.022560915917126, 'test_480_days': 39.82681566275799, 'test_600_days': 40.0723551439674, 'test_720_days': 40.0723551439674, 'test_555_days': 40.0723551439674}",results/run_9/2_24M_train_log_MSTL_ac_ARIMA_0480ec49.joblib
2_24M_train_boxcox_MSTL_ac_MFLES1_5e4f8006,2,24M_train,boxcox,MSTL_ac_MFLES1,41.41825667455913,"{'test_30_days': 36.361684380476746, 'test_60_days': 32.23684818027024, 'test_90_days': 28.6583954804533, 'test_120_days': 28.102334191265577, 'test_150_days': 28.33051138636909, 'test_180_days': 26.56132861924719, 'test_240_days': 25.341791592149683, 'test_300_days': 32.50238727770724, 'test_360_days': 38.17495557145252, 'test_480_days': 41.400839800075595, 'test_600_days': 41.41825667455913, 'test_720_days': 41.41825667455913, 'test_555_days': 41.41825667455913}",results/run_9/2_24M_train_boxcox_MSTL_ac_MFLES1_5e4f8006.joblib
2_22M_train_log_MSTL_abc_ARIMA_e99da065,2,22M_train,log,MSTL_abc_ARIMA,35.39315675065492,"{'test_30_days': 33.16177827735996, 'test_60_days': 33.71744006422146, 'test_90_days': 34.333831761771876, 'test_120_days': 34.118731961612006, 'test_150_days': 33.197957612864236, 'test_180_days': 33.28860350775196, 'test_240_days': 31.62406735304521, 'test_300_days': 29.3608211312682, 'test_360_days': 32.141862593936295, 'test_480_days': 36.7069982051058, 'test_600_days': 35.5577414044113, 'test_720_days': 35.39315675065492, 'test_614_days': 35.39315675065492}",results/run_9/2_22M_train_log_MSTL_abc_ARIMA_e99da065.joblib
2_22M_train_boxcox_MSTL_abc_ARIMA_b441edff,2,22M_train,boxcox,MSTL_abc_ARIMA,34.75412888186341,"{'test_30_days': 33.083021995712144, 'test_60_days': 33.99997528045847, 'test_90_days': 34.601678592285275, 'test_120_days': 34.62666784355107, 'test_150_days': 33.9319322631418, 'test_180_days': 34.09027576492053, 'test_240_days': 32.26316984059807, 'test_300_days': 29.600315282832522, 'test_360_days': 31.904917614320123, 'test_480_days': 36.2444761347772, 'test_600_days': 34.91635522302737, 'test_720_days': 34.75412888186341, 'test_614_days': 34.75412888186341}",results/run_9/2_22M_train_boxcox_MSTL_abc_ARIMA_b441edff.joblib
2_22M_train_log_seasonality_MSTL_abc_ARIMA_f2969f65,2,22M_train,log_seasonality,MSTL_abc_ARIMA,35.39315675065492,"{'test_30_days': 33.16177827735996, 'test_60_days': 33.71744006422146, 'test_90_days': 34.333831761771876, 'test_120_days': 34.118731961612006, 'test_150_days': 33.197957612864236, 'test_180_days': 33.28860350775196, 'test_240_days': 31.62406735304521, 'test_300_days': 29.3608211312682, 'test_360_days': 32.141862593936295, 'test_480_days': 36.7069982051058, 'test_600_days': 35.5577414044113, 'test_720_days': 35.39315675065492, 'test_614_days': 35.39315675065492}",results/run_9/2_22M_train_log_seasonality_MSTL_abc_ARIMA_f2969f65.joblib
2_22M_train_seasonality_boxcox_MSTL_abc_ARIMA_938e1f2a,2,22M_train,seasonality_boxcox,MSTL_abc_ARIMA,34.75412888186341,"{'test_30_days': 33.083021995712144, 'test_60_days': 33.99997528045847, 'test_90_days': 34.601678592285275, 'test_120_days': 34.62666784355107, 'test_150_days': 33.9319322631418, 'test_180_days': 34.09027576492053, 'test_240_days': 32.26316984059807, 'test_300_days': 29.600315282832522, 'test_360_days': 31.904917614320123, 'test_480_days': 36.2444761347772, 'test_600_days': 34.91635522302737, 'test_720_days': 34.75412888186341, 'test_614_days': 34.75412888186341}",results/run_9/2_22M_train_seasonality_boxcox_MSTL_abc_ARIMA_938e1f2a.joblib
2_20M_train_original_MSTL_ac_ARIMA_c1edc0b7,2,20M_train,original,MSTL_ac_ARIMA,38.70549790545428,"{'test_30_days': 42.64056126002357, 'test_60_days': 42.80732423159801, 'test_90_days': 42.39258002838749, 'test_120_days': 41.009709116821625, 'test_150_days': 39.213289009869214, 'test_180_days': 39.292594710786645, 'test_240_days': 37.399686761315145, 'test_300_days': 35.90656526926162, 'test_360_days': 32.85116422785642, 'test_480_days': 37.702315631416056, 'test_600_days': 39.3173993018845, 'test_720_days': 38.70549790545428, 'test_676_days': 38.70549790545428}",results/run_9/2_20M_train_original_MSTL_ac_ARIMA_c1edc0b7.joblib
2_20M_train_log_MSTL_ac_MFLES1_eb65ca8c,2,20M_train,log,MSTL_ac_MFLES1,36.22379707004895,"{'test_30_days': 43.970685208688245, 'test_60_days': 41.93576794610373, 'test_90_days': 40.24817239971234, 'test_120_days': 40.46760179703189, 'test_150_days': 39.341249761829026, 'test_180_days': 39.72441446528233, 'test_240_days': 39.28618364324578, 'test_300_days': 37.65940493993371, 'test_360_days': 35.047322185953846, 'test_480_days': 37.59636123694523, 'test_600_days': 37.26927695140505, 'test_720_days': 36.22379707004895, 'test_676_days': 36.22379707004895}",results/run_9/2_20M_train_log_MSTL_ac_MFLES1_eb65ca8c.joblib
2_20M_train_seasonality_MSTL_ac_ARIMA_acf2984d,2,20M_train,seasonality,MSTL_ac_ARIMA,38.70549790545428,"{'test_30_days': 42.64056126002357, 'test_60_days': 42.80732423159801, 'test_90_days': 42.39258002838749, 'test_120_days': 41.009709116821625, 'test_150_days': 39.213289009869214, 'test_180_days': 39.292594710786645, 'test_240_days': 37.399686761315145, 'test_300_days': 35.90656526926162, 'test_360_days': 32.85116422785642, 'test_480_days': 37.702315631416056, 'test_600_days': 39.3173993018845, 'test_720_days': 38.70549790545428, 'test_676_days': 38.70549790545428}",results/run_9/2_20M_train_seasonality_MSTL_ac_ARIMA_acf2984d.joblib
2_20M_train_boxcox_MSTL_ac_MFLES1_4403391d,2,20M_train,boxcox,MSTL_ac_MFLES1,35.88665031476273,"{'test_30_days': 44.44858506157365, 'test_60_days': 42.90868507608761, 'test_90_days': 41.159602595231696, 'test_120_days': 40.874388231484936, 'test_150_days': 39.52911252139803, 'test_180_days': 39.58718464628503, 'test_240_days': 38.743495377084884, 'test_300_days': 36.99614654036474, 'test_360_days': 34.43370458102807, 'test_480_days': 37.03245638617706, 'test_600_days': 36.91717030834376, 'test_720_days': 35.88665031476273, 'test_676_days': 35.88665031476273}",results/run_9/2_20M_train_boxcox_MSTL_ac_MFLES1_4403391d.joblib
2_20M_train_log_seasonality_MSTL_ac_MFLES1_72b4c144,2,20M_train,log_seasonality,MSTL_ac_MFLES1,36.22379707004895,"{'test_30_days': 43.970685208688245, 'test_60_days': 41.93576794610373, 'test_90_days': 40.24817239971234, 'test_120_days': 40.46760179703189, 'test_150_days': 39.341249761829026, 'test_180_days': 39.72441446528233, 'test_240_days': 39.28618364324578, 'test_300_days': 37.65940493993371, 'test_360_days': 35.047322185953846, 'test_480_days': 37.59636123694523, 'test_600_days': 37.26927695140505, 'test_720_days': 36.22379707004895, 'test_676_days': 36.22379707004895}",results/run_9/2_20M_train_log_seasonality_MSTL_ac_MFLES1_72b4c144.joblib
2_20M_train_seasonality_boxcox_MSTL_ac_MFLES1_b1b0b5f7,2,20M_train,seasonality_boxcox,MSTL_ac_MFLES1,35.88665031476273,"{'test_30_days': 44.44858506157365, 'test_60_days': 42.90868507608761, 'test_90_days': 41.159602595231696, 'test_120_days': 40.874388231484936, 'test_150_days': 39.52911252139803, 'test_180_days': 39.58718464628503, 'test_240_days': 38.743495377084884, 'test_300_days': 36.99614654036474, 'test_360_days': 34.43370458102807, 'test_480_days': 37.03245638617706, 'test_600_days': 36.91717030834376, 'test_720_days': 35.88665031476273, 'test_676_days': 35.88665031476273}",results/run_9/2_20M_train_seasonality_boxcox_MSTL_ac_MFLES1_b1b0b5f7.joblib
2_18M_train_original_MSTL_ac_MFLES1_8cfb410b,2,18M_train,original,MSTL_ac_MFLES1,34.84908996375653,"{'test_30_days': 26.635691093906296, 'test_60_days': 20.103754823495635, 'test_90_days': 27.48028845834426, 'test_120_days': 31.112323340618175, 'test_150_days': 33.36121670907267, 'test_180_days': 33.678631041483385, 'test_240_days': 32.942139385203845, 'test_300_days': 31.829819149938167, 'test_360_days': 30.966499526257373, 'test_480_days': 31.862237350579452, 'test_600_days': 35.46235751597076, 'test_720_days': 34.79587041597474, 'test_737_days': 34.84908996375653}",results/run_9/2_18M_train_original_MSTL_ac_MFLES1_8cfb410b.joblib
2_18M_train_log_MSTL_ac_MFLES1_ff5a94de,2,18M_train,log,MSTL_ac_MFLES1,37.76613966976434,"{'test_30_days': 31.749273131130025, 'test_60_days': 26.53094891975305, 'test_90_days': 32.52279036266425, 'test_120_days': 36.71310742089158, 'test_150_days': 39.12996139617439, 'test_180_days': 38.116098758760906, 'test_240_days': 36.52343258086844, 'test_300_days': 34.90864903483014, 'test_360_days': 33.544919577928454, 'test_480_days': 35.09720311891753, 'test_600_days': 38.83172873893842, 'test_720_days': 37.69779971235084, 'test_737_days': 37.76613966976434}",results/run_9/2_18M_train_log_MSTL_ac_MFLES1_ff5a94de.joblib
2_18M_train_seasonality_MSTL_ac_MFLES1_4082fa63,2,18M_train,seasonality,MSTL_ac_MFLES1,34.84908996375653,"{'test_30_days': 26.635691093906296, 'test_60_days': 20.103754823495635, 'test_90_days': 27.48028845834426, 'test_120_days': 31.112323340618175, 'test_150_days': 33.36121670907267, 'test_180_days': 33.678631041483385, 'test_240_days': 32.942139385203845, 'test_300_days': 31.829819149938167, 'test_360_days': 30.966499526257373, 'test_480_days': 31.862237350579452, 'test_600_days': 35.46235751597076, 'test_720_days': 34.79587041597474, 'test_737_days': 34.84908996375653}",results/run_9/2_18M_train_seasonality_MSTL_ac_MFLES1_4082fa63.joblib
2_18M_train_boxcox_MSTL_ac_MFLES1_d65987d1,2,18M_train,boxcox,MSTL_ac_MFLES1,43.80820912613663,"{'test_30_days': 39.58390758417402, 'test_60_days': 36.36866152894977, 'test_90_days': 42.19676334765203, 'test_120_days': 49.146166924808554, 'test_150_days': 51.86431717083951, 'test_180_days': 48.46525225577543, 'test_240_days': 44.75902112895966, 'test_300_days': 41.6435856139872, 'test_360_days': 39.193962373347006, 'test_480_days': 42.582634316508376, 'test_600_days': 46.08730247004436, 'test_720_days': 43.78548208954384, 'test_737_days': 43.80820912613663}",results/run_9/2_18M_train_boxcox_MSTL_ac_MFLES1_d65987d1.joblib
2_18M_train_log_seasonality_MSTL_ac_MFLES1_c83ab5f3,2,18M_train,log_seasonality,MSTL_ac_MFLES1,37.76613966976434,"{'test_30_days': 31.749273131130025, 'test_60_days': 26.53094891975305, 'test_90_days': 32.52279036266425, 'test_120_days': 36.71310742089158, 'test_150_days': 39.12996139617439, 'test_180_days': 38.116098758760906, 'test_240_days': 36.52343258086844, 'test_300_days': 34.90864903483014, 'test_360_days': 33.544919577928454, 'test_480_days': 35.09720311891753, 'test_600_days': 38.83172873893842, 'test_720_days': 37.69779971235084, 'test_737_days': 37.76613966976434}",results/run_9/2_18M_train_log_seasonality_MSTL_ac_MFLES1_c83ab5f3.joblib
2_18M_train_seasonality_boxcox_MSTL_ac_MFLES1_76ffb23d,2,18M_train,seasonality_boxcox,MSTL_ac_MFLES1,43.80820912613663,"{'test_30_days': 39.58390758417402, 'test_60_days': 36.36866152894977, 'test_90_days': 42.19676334765203, 'test_120_days': 49.146166924808554, 'test_150_days': 51.86431717083951, 'test_180_days': 48.46525225577543, 'test_240_days': 44.75902112895966, 'test_300_days': 41.6435856139872, 'test_360_days': 39.193962373347006, 'test_480_days': 42.582634316508376, 'test_600_days': 46.08730247004436, 'test_720_days': 43.78548208954384, 'test_737_days': 43.80820912613663}",results/run_9/2_18M_train_seasonality_boxcox_MSTL_ac_MFLES1_76ffb23d.joblib
2_12M_train_original_MSTL_ac_ARIMA_028a65e5,2,12M_train,original,MSTL_ac_ARIMA,39.043088136469386,"{'test_30_days': 35.84986543662659, 'test_60_days': 35.42443536447383, 'test_90_days': 35.21977034814148, 'test_120_days': 36.35871617169209, 'test_150_days': 34.775284358600885, 'test_180_days': 33.02920220721673, 'test_240_days': 31.467886466685364, 'test_300_days': 33.600698177438765, 'test_360_days': 34.636975009576844, 'test_480_days': 35.00182465226585, 'test_600_days': 33.63441637306007, 'test_720_days': 37.146855710080715, 'test_920_days': 39.043088136469386}",results/run_9/2_12M_train_original_MSTL_ac_ARIMA_028a65e5.joblib
2_12M_train_log_MSTL_abc_ARIMA_5c6b17fd,2,12M_train,log,MSTL_abc_ARIMA,36.33809515454904,"{'test_30_days': 33.17705706247064, 'test_60_days': 31.276027047453514, 'test_90_days': 33.58668183528973, 'test_120_days': 33.741953537682946, 'test_150_days': 31.54876056875994, 'test_180_days': 31.340003082664353, 'test_240_days': 28.809689098305153, 'test_300_days': 30.620561304619713, 'test_360_days': 32.43267279932511, 'test_480_days': 35.598986141643216, 'test_600_days': 34.61683746775322, 'test_720_days': 37.09918299623183, 'test_920_days': 36.33809515454904}",results/run_9/2_12M_train_log_MSTL_abc_ARIMA_5c6b17fd.joblib
2_12M_train_seasonality_MSTL_ac_ARIMA_8d205526,2,12M_train,seasonality,MSTL_ac_ARIMA,39.043088136469386,"{'test_30_days': 35.84986543662659, 'test_60_days': 35.42443536447383, 'test_90_days': 35.21977034814148, 'test_120_days': 36.35871617169209, 'test_150_days': 34.775284358600885, 'test_180_days': 33.02920220721673, 'test_240_days': 31.467886466685364, 'test_300_days': 33.600698177438765, 'test_360_days': 34.636975009576844, 'test_480_days': 35.00182465226585, 'test_600_days': 33.63441637306007, 'test_720_days': 37.146855710080715, 'test_920_days': 39.043088136469386}",results/run_9/2_12M_train_seasonality_MSTL_ac_ARIMA_8d205526.joblib
2_12M_train_boxcox_MSTL_abc_ARIMA_cbf65fe2,2,12M_train,boxcox,MSTL_abc_ARIMA,36.40220368903779,"{'test_30_days': 32.667587858330634, 'test_60_days': 30.73829468883142, 'test_90_days': 33.145585992198725, 'test_120_days': 33.19288719093792, 'test_150_days': 31.070344862022715, 'test_180_days': 31.006281154710084, 'test_240_days': 28.58116876217088, 'test_300_days': 30.359624241404653, 'test_360_days': 32.260889029625794, 'test_480_days': 35.538262745107914, 'test_600_days': 34.619313720224476, 'test_720_days': 37.299939494031165, 'test_920_days': 36.40220368903779}",results/run_9/2_12M_train_boxcox_MSTL_abc_ARIMA_cbf65fe2.joblib
2_12M_train_log_seasonality_MSTL_abc_ARIMA_a461f2c0,2,12M_train,log_seasonality,MSTL_abc_ARIMA,36.33809515454904,"{'test_30_days': 33.17705706247064, 'test_60_days': 31.276027047453514, 'test_90_days': 33.58668183528973, 'test_120_days': 33.741953537682946, 'test_150_days': 31.54876056875994, 'test_180_days': 31.340003082664353, 'test_240_days': 28.809689098305153, 'test_300_days': 30.620561304619713, 'test_360_days': 32.43267279932511, 'test_480_days': 35.598986141643216, 'test_600_days': 34.61683746775322, 'test_720_days': 37.09918299623183, 'test_920_days': 36.33809515454904}",results/run_9/2_12M_train_log_seasonality_MSTL_abc_ARIMA_a461f2c0.joblib
2_12M_train_seasonality_boxcox_MSTL_abc_ARIMA_54dfe7b2,2,12M_train,seasonality_boxcox,MSTL_abc_ARIMA,36.40220368903779,"{'test_30_days': 32.667587858330634, 'test_60_days': 30.73829468883142, 'test_90_days': 33.145585992198725, 'test_120_days': 33.19288719093792, 'test_150_days': 31.070344862022715, 'test_180_days': 31.006281154710084, 'test_240_days': 28.58116876217088, 'test_300_days': 30.359624241404653, 'test_360_days': 32.260889029625794, 'test_480_days': 35.538262745107914, 'test_600_days': 34.619313720224476, 'test_720_days': 37.299939494031165, 'test_920_days': 36.40220368903779}",results/run_9/2_12M_train_seasonality_boxcox_MSTL_abc_ARIMA_54dfe7b2.joblib
